unique_id,mode,gender,hold racket handed,play years,level,segment0_Az_median,segment1_Az_median,segment2_Az_median,segment3_Az_median,segment4_Az_median,segment5_Az_median,segment6_Az_median,segment7_Az_median,segment8_Az_median,segment9_Az_median,segment10_Az_median,segment11_Az_median,segment12_Az_median,segment13_Az_median,segment14_Az_median,segment15_Az_median,segment16_Az_median,segment17_Az_median,segment18_Az_median,segment19_Az_median,segment20_Az_median,segment21_Az_median,segment22_Az_median,segment23_Az_median,segment24_Az_median,segment25_Az_median,segment26_Az_median
1,1,1,1,1,5,0.6094498147980847,0.3321641529287969,0.4345280594031129,0.13706945228684358,0.49933422103861513,0.49289398884093066,0.5676802186539118,0.5195629468948342,0.6577684832082668,0.5417935953636971,0.328530900595205,0.3533214805236787,0.5692251727901055,0.4903652173913043,0.5246599807665888,0.46436781609195404,0.3723345333702575,0.4277478570886748,0.6517401209835808,0.5872961373390558,0.6095050986995977,0.6220830070477682,0.51136,0.5887198986058302,0.5194211728865193,0.45938015771135154,0.6720160481444333
2,2,1,1,1,5,0.6667268949317915,0.5101718695194668,0.4569470227045552,0.30110107284020327,0.6516644474034621,0.5836403831982314,0.7228561667236078,0.6574274925684904,0.6353795054742282,0.5851846348168511,0.3327585247816655,0.676741554873121,0.6873772280829393,0.659895652173913,0.6200027476301689,0.45632183908045976,0.5769869842148989,0.6182962906773875,0.6179589912797548,0.7591416309012876,0.5353166806997848,0.6472983555207517,0.44928,0.5556083650190115,0.5658796648895659,0.4674491105813314,0.681772590498769
3,3,1,1,1,5,0.7140663113199024,0.4838653104173974,0.5415536198771954,0.45002823263692826,0.6343541944074567,0.5765870091588589,0.6772804919713017,0.673254599501888,0.7269036781891992,0.6757559997028011,0.3738666073315904,0.5429933732018749,0.6149145143688615,0.5420521739130434,0.5762467371891743,0.5959770114942529,0.6235807255607865,0.5768034590002276,0.6643884044308273,0.6948497854077254,0.6690055196931425,0.684103367267032,0.5667200000000001,0.5901457541191382,0.5587966488956587,0.5280579497524298,0.7810704841798122
4,4,1,1,1,5,0.6661848405456681,0.3765345492809541,0.47108382121947734,0.4388763410502541,0.5438082556591212,0.5307400779029372,0.5535360437307824,0.5922712300152648,0.6505105178988806,0.5865220298684894,0.34555265060911167,0.5379020526911266,0.5903237540923972,0.5993043478260869,0.4512982552548427,0.4595238095238095,0.5163389642758238,0.4663581885761966,0.5196009113048943,0.6127038626609442,0.5469173917111049,0.6003915426781519,0.46288000000000007,0.5492712294043093,0.5136329017517136,0.4181184668989547,0.6300720342846722
5,5,1,1,1,5,0.6831692113108682,0.38512802525429674,0.5546194488076538,0.4218661773009599,0.6013315579227696,0.5284766817559743,0.6080628629996584,0.6342090463565518,0.6922130643375569,0.5929861059514079,0.3528953663013851,0.6088572813964764,0.6056747908330302,0.5388521739130434,0.5698584970462975,0.542200328407225,0.5233314871226806,0.48243950542365166,0.5847277869432006,0.6521888412017168,0.6009916736832257,0.6433046202036021,0.52168,0.6461501901140685,0.5875095201827875,0.3308270676691729,0.5857572718154463
6,6,1,1,1,5,0.6967205709639533,0.43695194668537357,0.5660431243752677,0.3791643139469226,0.6161118508655127,0.5736919675755343,0.623436966176973,0.6994456495541095,0.6965186369787182,0.6614161527602347,0.37992991044111923,0.541781154032649,0.6024736267733721,0.5814260869565216,0.5870998763566424,0.5658456486042693,0.5681944059817224,0.5262079951452628,0.58802733914683,0.6512446351931331,0.6408457292543737,0.6537196554424431,0.52464,0.6150190114068441,0.5722772277227722,0.4774436090225564,0.6460289960791465
7,7,1,1,1,5,0.727798355768362,0.5773412837600842,0.48157932314722257,0.3699887069452287,0.5846870838881492,0.49915780608485105,0.5600956610864366,0.539648107977826,0.6428835035059663,0.5728508804517423,0.335651109751349,0.5631970260223048,0.497053473990542,0.5657043478260869,0.37147959884599535,0.49885057471264366,0.5317086679590141,0.4256997648486687,0.48801948307015475,0.5072961373390559,0.5809710917765928,0.5942051683633516,0.45744000000000007,0.6087610899873257,0.4094440213252094,0.48542086924628647,0.6969089085438133
8,8,1,1,1,5,0.7151504200921492,0.5740091196071554,0.40625446237326857,0.36053077357425184,0.5588548601864181,0.49078850405305824,0.5626238469422618,0.5259901984413915,0.6624431049329561,0.5517497585258934,0.32474828948100354,0.5298205915629546,0.5651509639869043,0.5423304347826086,0.5234235471905482,0.45073891625615764,0.4970229853226253,0.4442843055450201,0.3921753476313929,0.6041201716738198,0.40911217139114975,0.5527016444792482,0.49376000000000003,0.5488751584283904,0.46138613861386135,0.4386576196589034,0.6193124829032552
9,9,1,1,1,5,0.8043183666094498,0.6099614170466503,0.44995002141939167,0.37648221343873517,0.4873501997336884,0.4613117170228445,0.5729415784079263,0.5218124849361292,0.6427604871447903,0.6334794561260123,0.2942092673972298,0.5920478422498787,0.5610767551837031,0.5778086956521739,0.5208132985300179,0.5106732348111659,0.4940459706452506,0.5231737844193278,0.511744834629586,0.609098712446352,0.5351295724576668,0.6501174628034455,0.47120000000000006,0.5747782002534855,0.484996191926885,0.5215477718686962,0.5772772864046686
10,9,1,1,1,5,0.6528141656879574,0.45501578393546127,0.5272026274453805,0.3557312252964427,0.5360852197070572,0.5127381829666281,0.5484796720191323,0.5955651964328754,0.6256612129413213,0.5796864551601159,0.331645992101018,0.5737029254889284,0.4971262277191706,0.5257739130434782,0.5096853963456519,0.5064860426929393,0.4923843810578787,0.4771296366532655,0.4864482677350931,0.6545922746781117,0.5057535784451305,0.5943617854346124,0.468,0.6482097591888466,0.4784463061690784,0.4585549238951036,0.5840248016777605
