feature,rank_1,rank_2,rank_3,rank_4,mean_rank
swing7_std_gy,675,644,666,347,583.0
swing6_min_ax,365,670,590,707,583.0
swing27_min_ax,403,737,478,719,584.25
swing10_rms_gy,404,782,588,564,584.5
swing5_rms_ay,682,524,710,423,584.75
swing15_std_gz,781,583,532,444,585.0
swing16_min_gz,169,795,765,613,585.5
swing6_min_gx,204,657,795,689,586.25
swing23_std_gz,743,620,748,240,587.75
swing26_rms_ay,698,435,701,519,588.25
swing18_min_gx,554,612,557,634,589.25
swing10_median_ay,556,627,614,565,590.5
swing10_max_gz,493,823,789,259,591.0
swing6_std_ay,755,438,459,718,592.5
swing17_min_ax,662,557,544,610,593.25
swing14_rms_gx,581,264,709,822,594.0
swing26_mean_gx,757,465,437,717,594.0
swing15_median_gx,509,382,729,757,594.25
swing22_max_az,398,687,570,722,594.25
swing20_max_gz,607,664,811,297,594.75
swing9_min_ay,413,485,713,771,595.5
swing14_rms_gy,335,705,519,823,595.5
swing10_median_ax,567,552,787,485,597.75
swing13_std_gx,663,671,467,590,597.75
swing27_rms_ay,82,735,826,751,598.5
swing23_max_gz,172,722,751,754,599.75
swing14_max_gx,604,519,777,503,600.75
swing19_max_gz,578,826,815,184,600.75
swing27_rms_gz,808,525,350,730,603.25
swing25_rms_ay,788,220,696,713,604.25
swing11_rms_gx,769,677,526,450,605.5
swing27_rms_gx,806,497,399,723,606.25
swing14_median_ax,524,756,392,756,607.0
swing8_std_ay,623,679,527,599,607.0
swing18_max_gy,557,753,755,364,607.25
swing20_std_gz,602,617,653,558,607.5
swing27_mean_gx,664,432,605,738,609.75
swing5_min_ax,691,549,569,631,610.0
swing25_min_az,394,723,616,711,611.0
swing13_std_gz,819,595,638,393,611.25
swing21_median_ax,830,494,469,653,611.5
swing19_max_gy,586,752,563,546,611.75
swing6_std_gz,756,412,768,513,612.25
swing12_max_gx,686,559,675,532,613.0
swing24_std_gx,728,320,702,704,613.5
swing12_rms_gz,765,809,468,416,614.5
swing12_rms_gy,793,771,309,585,614.5
swing10_max_gy,495,586,782,597,615.0
swing23_max_az,471,606,686,702,616.25
swing19_min_gz,592,829,495,549,616.25
swing20_max_gx,605,529,812,520,616.5
swing23_min_gx,462,816,690,507,618.75
swing13_min_ay,705,371,635,764,618.75
swing13_min_gx,327,749,634,766,619.0
swing25_min_gz,790,655,706,326,619.25
swing6_median_ax,708,707,384,681,620.0
swing26_min_ay,694,615,689,487,621.25
swing8_std_gz,621,597,647,620,621.25
swing26_rms_gz,702,665,365,765,624.25
swing15_max_gy,498,709,509,784,625.0
swing26_rms_gy,701,682,681,439,625.75
swing10_max_gx,497,695,722,596,627.5
swing15_rms_gy,505,630,604,775,628.5
swing20_min_gz,612,755,623,524,628.5
swing27_rms_gy,807,778,537,396,629.5
swing5_max_gy,795,748,429,550,630.5
swing5_std_ay,758,538,481,748,631.25
swing5_rms_gz,700,581,671,582,633.5
swing24_rms_gx,744,564,548,685,635.25
swing27_max_gx,796,751,474,521,635.5
swing24_rms_gy,672,780,354,736,635.5
swing6_median_gx,722,689,707,426,636.0
swing10_std_ax,785,469,718,573,636.25
swing21_std_ay,630,702,571,658,640.25
swing17_min_gx,772,601,763,427,640.75
swing17_rms_gz,779,503,773,515,642.5
swing11_std_gz,782,788,430,572,643.0
swing15_min_gx,508,784,770,512,643.5
swing20_max_gy,606,821,596,552,643.75
swing16_min_gx,525,708,733,612,644.5
swing8_median_ax,631,591,587,776,646.25
swing17_median_ax,780,642,541,623,646.5
swing10_min_gx,532,805,732,518,646.75
swing10_std_ay,783,701,501,606,647.75
swing18_max_gz,555,710,818,511,648.5
swing11_min_gx,614,814,808,360,649.0
swing13_max_az,814,773,523,488,649.5
swing24_max_ax,678,649,558,716,650.25
swing20_rms_gy,617,651,783,554,651.25
swing14_std_gx,483,775,528,825,652.75
swing6_max_gx,827,196,780,809,653.0
swing20_min_gx,610,806,657,540,653.25
swing11_min_gz,624,736,803,453,654.0
swing10_min_gz,527,790,723,580,655.0
swing11_max_gy,523,697,825,575,655.0
swing16_max_gy,566,787,599,671,655.75
swing15_min_ay,561,553,728,787,657.25
swing23_max_gy,726,767,750,392,658.75
swing21_min_gx,516,729,752,640,659.25
swing9_std_gz,358,789,676,817,660.0
swing16_std_gz,563,815,731,531,660.0
swing9_max_az,395,724,712,815,661.5
swing16_max_gz,503,779,766,601,662.25
swing12_mean_gx,751,638,796,465,662.5
swing25_mean_gx,818,747,372,714,662.75
swing15_std_ay,538,610,725,781,663.5
swing24_max_gz,427,799,740,693,664.75
swing16_std_ay,560,730,618,759,666.75
swing7_min_gx,730,797,670,482,669.75
swing24_mean_gx,737,650,813,481,670.25
swing24_std_ay,485,692,699,814,672.5
swing21_std_gz,633,660,760,641,673.5
swing26_std_gz,764,744,685,502,673.75
swing25_rms_gy,767,543,705,684,674.75
swing7_median_ax,714,760,673,553,675.0
swing12_min_gx,801,714,738,451,676.0
swing14_std_gz,645,614,629,816,676.0
swing12_std_gz,803,716,650,536,676.25
swing21_min_gz,517,798,744,650,677.25
swing25_max_gy,828,785,775,322,677.5
swing25_min_gx,791,820,779,321,677.75
swing17_rms_gy,778,551,761,622,678.0
swing13_max_gz,716,828,754,417,678.75
swing15_min_gz,464,725,769,761,679.75
swing13_max_gy,712,609,637,762,680.0
swing18_mean_gx,784,607,715,626,683.0
swing17_min_gz,773,641,719,607,685.0
swing21_max_gy,521,802,781,644,687.0
swing23_max_gx,741,562,749,700,688.0
swing14_max_gz,429,740,772,819,690.0
swing13_max_gx,813,667,533,755,692.0
swing21_max_gz,588,783,753,646,692.5
swing8_max_gz,655,719,790,624,697.0
swing12_min_gz,667,794,736,592,697.25
swing15_rms_ay,625,662,727,790,701.0
swing5_std_gz,805,587,758,657,701.75
swing18_min_gz,539,822,816,636,703.25
swing11_max_gz,591,825,824,576,704.0
swing7_max_gy,736,813,555,726,707.5
swing8_max_gy,656,743,807,625,707.75
swing13_mean_gx,749,741,756,588,708.5
swing24_min_gz,715,746,687,687,708.75
swing25_std_gx,823,621,684,709,709.25
swing27_max_gy,797,693,612,743,711.25
