feature,rf_rank,xgb_rank,mean_rank
segment5_Az_median,1,5,3.0
segment9_Az_median,4,2,3.0
segment23_Az_median,8,1,4.5
segment8_Az_median,2,14,8.0
segment10_Az_median,15,3,9.0
segment13_Az_median,13,10,11.5
segment7_Az_median,5,18,11.5
segment12_Az_std,21,4,12.5
segment12_Az_median,22,6,14.0
segment17_Az_std,23,13,18.0
segment20_Az_std,17,25,21.0
segment18_Az_std,28,19,23.5
segment1_Az_mean,25,30,27.5
segment19_Az_median,27,29,28.0
segment18_Az_mean,33,28,30.5
segment15_Az_median,12,49,30.5
segment4_Az_median,14,51,32.5
segment14_Az_std,44,31,37.5
segment25_Az_median,19,59,39.0
segment7_Ax_max,51,35,43.0
segment1_Az_median,24,68,46.0
segment12_Ax_std,47,50,48.5
segment26_Ax_mean,50,48,49.0
segment13_Az_std,60,40,50.0
segment4_Az_std,61,41,51.0
segment12_Ax_mean,55,55,55.0
segment18_Az_median,16,101,58.5
segment20_Az_median,3,118,60.5
segment20_Gz_mean,104,20,62.0
segment21_Gx_max,116,9,62.5
segment0_Az_median,46,80,63.0
segment8_Az_mean,75,53,64.0
segment3_Az_median,6,133,69.5
segment9_Ax_std,96,44,70.0
segment15_Gz_median,112,32,72.0
segment12_Gx_max,138,8,73.0
segment25_Ax_std,133,15,74.0
segment16_Gz_mean,122,26,74.0
segment14_Gx_max,127,23,75.0
segment10_Az_std,79,84,81.5
segment13_Ax_std,59,106,82.5
segment17_Az_median,7,160,83.5
segment3_Ax_max,95,74,84.5
segment11_Az_median,10,161,85.5
segment21_Gz_mean,93,79,86.0
segment14_Gz_median,140,33,86.5
segment25_Az_mean,91,82,86.5
segment16_Gx_max,167,7,87.0
segment25_Ax_mean,78,98,88.0
segment0_Ay_mean,88,88,88.0
segment7_Az_std,39,137,88.0
segment20_Ax_mean,65,112,88.5
segment7_Ax_mean,48,130,89.0
segment7_Ay_max,152,27,89.5
segment6_Az_std,31,150,90.5
segment6_Ax_std,99,90,94.5
segment26_Ay_max,155,36,95.5
segment21_Az_std,34,158,96.0
segment3_Gz_mean,71,127,99.0
segment0_Ay_median,144,54,99.0
segment19_Az_std,30,170,100.0
segment8_Ax_std,177,24,100.5
segment16_Ax_std,107,96,101.5
segment10_Ax_std,161,43,102.0
segment15_Ax_mean,49,155,102.0
segment10_Ax_mean,102,103,102.5
segment14_Gx_std,142,65,103.5
segment5_Ax_max,143,66,104.5
segment26_Ax_max,62,149,105.5
segment16_Az_mean,100,111,105.5
segment5_Ax_mean,87,125,106.0
segment22_Az_std,40,175,107.5
segment18_Ax_std,108,109,108.5
segment14_Az_median,18,201,109.5
segment1_Az_std,86,142,114.0
segment22_Az_median,26,204,115.0
segment17_Ay_max,170,64,117.0
segment15_Ay_max,149,86,117.5
segment0_Ax_mean,165,75,120.0
